Ticker,Date,Time,Open ,HighV,LowV,Close ,Volume
NIFTY25JUN2010000PE,2020-05-29,09:15:00,653.15,662.1,649.9,662.1,1950
NIFTY25JUN2010000PE,2020-05-29,09:16:00,662.1,662.1,643.35,650.0,3825
NIFTY25JUN2010000PE,2020-05-29,09:17:00,650.0,656.0,650.0,650.0,450
NIFTY25JUN2010000PE,2020-05-29,09:18:00,650.0,650.0,640.0,645.5,1275
NIFTY25JUN2010000PE,2020-05-29,09:19:00,645.5,645.5,645.0,645.0,150
NIFTY25JUN2010000PE,2020-05-29,09:20:00,645.0,645.0,632.9,632.9,300
NIFTY25JUN2010000PE,2020-05-29,09:21:00,632.9,635.0,632.9,635.0,450
NIFTY25JUN2010000PE,2020-05-29,09:22:00,635.0,647.4,635.0,647.4,825
NIFTY25JUN2010000PE,2020-05-29,09:23:00,647.4,650.0,647.0,650.0,825
NIFTY25JUN2010000PE,2020-05-29,09:24:00,650.0,652.35,650.0,650.25,675
NIFTY25JUN2010000PE,2020-05-29,09:25:00,650.25,662.3,650.25,655.0,825
NIFTY25JUN2010000PE,2020-05-29,09:26:00,655.0,663.9,655.0,661.55,750
NIFTY25JUN2010000PE,2020-05-29,09:27:00,661.55,666.1,661.55,665.75,225
NIFTY25JUN2010000PE,2020-05-29,09:28:00,665.75,665.75,661.35,661.35,225
NIFTY25JUN2010000PE,2020-05-29,09:29:00,661.35,668.85,661.35,668.85,825
NIFTY25JUN2010000PE,2020-05-29,09:30:00,668.85,673.1,667.55,667.55,450
NIFTY25JUN2010000PE,2020-05-29,09:31:00,667.55,674.45,666.95,670.8,375
NIFTY25JUN2010000PE,2020-05-29,09:32:00,670.8,670.8,670.0,670.0,150
NIFTY25JUN2010000PE,2020-05-29,09:33:00,670.0,675.15,670.0,674.45,525
NIFTY25JUN2010000PE,2020-05-29,09:34:00,674.45,674.45,669.9,670.35,300
NIFTY25JUN2010000PE,2020-05-29,09:35:00,670.35,677.1,670.35,677.1,825
NIFTY25JUN2010000PE,2020-05-29,09:36:00,677.1,680.0,677.1,680.0,300
NIFTY25JUN2010000PE,2020-05-29,09:37:00,680.0,689.0,680.0,684.65,450
NIFTY25JUN2010000PE,2020-05-29,09:38:00,684.65,686.1,679.55,679.55,225
NIFTY25JUN2010000PE,2020-05-29,09:39:00,679.55,680.0,676.7,680.0,225
NIFTY25JUN2010000PE,2020-05-29,09:40:00,680.0,680.0,678.4,678.4,450
NIFTY25JUN2010000PE,2020-05-29,09:41:00,678.4,678.4,666.0,666.0,450
NIFTY25JUN2010000PE,2020-05-29,09:42:00,666.0,668.0,665.9,668.0,300
NIFTY25JUN2010000PE,2020-05-29,09:43:00,668.0,668.0,667.0,667.45,150
NIFTY25JUN2010000PE,2020-05-29,09:44:00,667.45,667.45,663.0,665.4,300
NIFTY25JUN2010000PE,2020-05-29,09:45:00,665.4,665.4,660.8,661.0,450
NIFTY25JUN2010000PE,2020-05-29,09:46:00,661.0,672.55,661.0,672.55,225
NIFTY25JUN2010000PE,2020-05-29,09:47:00,672.55,675.2,672.55,673.05,525
NIFTY25JUN2010000PE,2020-05-29,09:48:00,673.05,682.65,673.05,680.35,1125
NIFTY25JUN2010000PE,2020-05-29,09:49:00,680.35,680.35,678.8,678.8,750
NIFTY25JUN2010000PE,2020-05-29,09:50:00,678.8,683.45,678.8,683.45,1050
NIFTY25JUN2010000PE,2020-05-29,09:52:00,683.45,683.45,670.65,672.65,375
NIFTY25JUN2010000PE,2020-05-29,09:53:00,672.65,672.85,669.25,669.25,525
NIFTY25JUN2010000PE,2020-05-29,09:54:00,669.25,669.7,664.15,669.7,1575
NIFTY25JUN2010000PE,2020-05-29,09:55:00,669.7,669.7,664.7,665.15,2025
NIFTY25JUN2010000PE,2020-05-29,09:56:00,665.15,669.25,663.0,669.25,1275
NIFTY25JUN2010000PE,2020-05-29,09:57:00,669.25,672.9,669.25,671.5,450
NIFTY25JUN2010000PE,2020-05-29,09:58:00,671.5,671.5,668.35,668.35,300
NIFTY25JUN2010000PE,2020-05-29,09:59:00,668.35,668.65,665.55,668.65,1425
NIFTY25JUN2010000PE,2020-05-29,10:00:00,668.65,671.15,667.05,667.45,450
NIFTY25JUN2010000PE,2020-05-29,10:01:00,667.45,667.45,660.45,660.45,1725
NIFTY25JUN2010000PE,2020-05-29,10:02:00,660.45,661.9,658.2,661.9,1875
NIFTY25JUN2010000PE,2020-05-29,10:04:00,663.3,663.3,655.9,656.35,1200
NIFTY25JUN2010000PE,2020-05-29,10:05:00,656.35,656.35,648.65,651.75,3150
NIFTY25JUN2010000PE,2020-05-29,10:06:00,651.75,651.75,638.15,641.15,4725
NIFTY25JUN2010000PE,2020-05-29,10:07:00,642.65,645.05,642.0,645.05,1350
NIFTY25JUN2010000PE,2020-05-29,10:08:00,645.05,646.0,642.8,645.8,1350
NIFTY25JUN2010000PE,2020-05-29,10:09:00,645.8,648.75,645.8,647.85,675
NIFTY25JUN2010000PE,2020-05-29,10:10:00,647.85,647.85,640.0,640.9,450
NIFTY25JUN2010000PE,2020-05-29,10:11:00,640.9,644.5,638.25,638.25,900
NIFTY25JUN2010000PE,2020-05-29,10:12:00,638.25,643.35,638.25,643.35,1575
NIFTY25JUN2010000PE,2020-05-29,10:13:00,643.35,651.7,643.35,651.7,1050
NIFTY25JUN2010000PE,2020-05-29,10:14:00,651.7,651.7,650.05,650.05,375
NIFTY25JUN2010000PE,2020-05-29,10:15:00,649.85,658.5,649.85,658.5,1575
NIFTY25JUN2010000PE,2020-05-29,10:16:00,658.5,658.5,654.05,655.5,225
NIFTY25JUN2010000PE,2020-05-29,10:17:00,655.5,655.5,651.5,653.75,525
NIFTY25JUN2010000PE,2020-05-29,10:18:00,653.2,653.2,645.0,645.15,900
NIFTY25JUN2010000PE,2020-05-29,10:19:00,645.15,645.45,644.7,645.45,225
NIFTY25JUN2010000PE,2020-05-29,10:20:00,645.25,648.6,645.25,647.65,675
NIFTY25JUN2010000PE,2020-05-29,10:21:00,647.65,650.0,646.3,649.35,675
NIFTY25JUN2010000PE,2020-05-29,10:22:00,649.35,652.9,648.45,652.9,525
NIFTY25JUN2010000PE,2020-05-29,10:23:00,652.85,652.9,646.9,646.9,375
NIFTY25JUN2010000PE,2020-05-29,10:24:00,646.9,649.2,646.9,649.05,525
NIFTY25JUN2010000PE,2020-05-29,10:25:00,649.05,649.05,637.05,639.7,1875
NIFTY25JUN2010000PE,2020-05-29,10:26:00,639.7,641.2,638.25,639.55,5475
NIFTY25JUN2010000PE,2020-05-29,10:27:00,639.55,639.7,633.0,635.7,2325
NIFTY25JUN2010000PE,2020-05-29,10:28:00,635.7,641.05,635.7,641.05,1650
NIFTY25JUN2010000PE,2020-05-29,10:29:00,641.05,641.4,637.7,639.7,1200
NIFTY25JUN2010000PE,2020-05-29,10:30:00,639.1,644.4,639.1,642.7,1800
NIFTY25JUN2010000PE,2020-05-29,10:31:00,642.7,644.55,642.0,644.55,375
NIFTY25JUN2010000PE,2020-05-29,10:32:00,644.55,644.75,640.0,643.75,525
NIFTY25JUN2010000PE,2020-05-29,10:33:00,643.75,643.85,643.75,643.85,75
NIFTY25JUN2010000PE,2020-05-29,10:34:00,646.1,646.8,645.2,645.2,450
NIFTY25JUN2010000PE,2020-05-29,10:35:00,645.2,645.2,629.6,630.65,225
NIFTY25JUN2010000PE,2020-05-29,10:36:00,630.65,631.4,629.5,629.5,300
NIFTY25JUN2010000PE,2020-05-29,10:37:00,629.5,631.55,629.5,631.25,525
NIFTY25JUN2010000PE,2020-05-29,10:38:00,631.25,631.25,623.9,623.9,1200
NIFTY25JUN2010000PE,2020-05-29,10:39:00,623.9,624.8,623.9,624.8,600
NIFTY25JUN2010000PE,2020-05-29,10:40:00,624.8,624.8,611.35,612.0,1125
NIFTY25JUN2010000PE,2020-05-29,10:41:00,610.0,619.0,609.15,618.9,3450
NIFTY25JUN2010000PE,2020-05-29,10:42:00,618.9,619.0,612.0,618.85,2925
NIFTY25JUN2010000PE,2020-05-29,10:43:00,618.85,620.3,618.0,619.0,1125
NIFTY25JUN2010000PE,2020-05-29,10:44:00,620.0,626.0,620.0,626.0,3000
NIFTY25JUN2010000PE,2020-05-29,10:45:00,626.0,626.0,616.85,617.65,750
NIFTY25JUN2010000PE,2020-05-29,10:46:00,617.65,619.5,616.0,619.5,1725
NIFTY25JUN2010000PE,2020-05-29,10:47:00,619.5,622.45,619.5,621.0,600
